Team	Goals For Base
New Jersey Devils	3.704
New York Islanders	3.172
New York Rangers	3.034
Philadelphia Flyers	2.414
Pittsburgh Penguins	3.536
Boston Bruins	3.923
Buffalo Sabres	3.857
Montréal Canadiens	2.926
Ottawa Senators	3.074
Toronto Maple Leafs	3.207
Carolina Hurricanes	2.889
Florida Panthers	3.393
Tampa Bay Lightning	3.519
Washington Capitals	2.9
Chicago Blackhawks	2.385
Detroit Red Wings	3.074
Nashville Predators	2.6
St. Louis Blues	2.964
Calgary Flames	3.036
Colorado Avalanche	3.077
Edmonton Oilers	3.643
Vancouver Canucks	3.464
Anaheim Ducks	2.429
Dallas Stars	3.75
Los Angeles Kings	3.387
San Jose Sharks	3.067
Columbus Blue Jackets	2.963
Minnesota Wild	3.074
Winnipeg Jets	3.296
Arizona Coyotes	2.769
Vegas Golden Knights	3.276
Seattle Kraken	3.5
