Team	Shots For Corrected
New Jersey Devils	0.9014140264980409
New York Islanders	0.5107732963604675
New York Rangers	0.7740729179316812
Philadelphia Flyers	0.20270837325968533
Pittsburgh Penguins	0.7989227941136777
Boston Bruins	0.9248665955639674
Buffalo Sabres	0.6847828641907717
Montréal Canadiens	0.16244581757441837
Ottawa Senators	0.8125165377439266
Toronto Maple Leafs	0.4604166513820157
Carolina Hurricanes	0.9096471501359665
Florida Panthers	0.9881291195220837
Tampa Bay Lightning	0.5711181434408118
Washington Capitals	0.39555451944803294
Chicago Blackhawks	0.0215237483470005
Detroit Red Wings	0.2615173960617637
Nashville Predators	0.2915579660858329
St. Louis Blues	0.26653335081747054
Calgary Flames	0.8237744402052869
Colorado Avalanche	0.6867025527099044
Edmonton Oilers	0.5885100662394082
Vancouver Canucks	0.29949031155807865
Anaheim Ducks	0.2757071439770482
Dallas Stars	0.6326446327655811
Los Angeles Kings	0.652089978395381
San Jose Sharks	0.28005192959864417
Columbus Blue Jackets	0.23028538583875413
Minnesota Wild	0.57701657749819
Winnipeg Jets	0.37559395855873473
Arizona Coyotes	0.005810123969333627
Vegas Golden Knights	0.6516030168739902
Seattle Kraken	0.18754971176122656
